revision,datetime,creator,display_name,status
/en-US/kb/manual-account-configuration/revision/156378,2018-01-31T04:25:24-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/manual-account-configuration/revision/145459,2017-09-17T00:11:52-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/manual-account-configuration/revision/135770,2016-11-27T16:34:46-08:00,/en-US/user/Zenos/,Zenos,approved
/en-US/kb/manual-account-configuration/revision/107440,2015-10-26T03:25:18-07:00,/en-US/user/vesper/,vesper,approved
/en-US/kb/manual-account-configuration/revision/84553,2014-12-13T19:05:16-08:00,/en-US/user/scootergrisen/,scootergrisen,approved
/en-US/kb/manual-account-configuration/revision/77819,2014-10-09T01:52:12-07:00,/en-US/user/upwinxp/,Lan,approved
/en-US/kb/manual-account-configuration/revision/77324,2014-10-01T22:11:54-07:00,/en-US/user/user917725/,user917725,approved
/en-US/kb/manual-account-configuration/revision/77281,2014-10-01T18:37:07-07:00,/en-US/user/underpass/,Underpass,unreviewed
/en-US/kb/manual-account-configuration/revision/76949,2014-09-25T17:04:21-07:00,/en-US/user/gpiero61/,gpiero,approved
/en-US/kb/manual-account-configuration/revision/76518,2014-09-19T18:14:18-07:00,/en-US/user/gpiero61/,gpiero,approved
/en-US/kb/manual-account-configuration/revision/73145,2014-08-25T02:38:36-07:00,/en-US/user/user917725/,user917725,unreviewed
/en-US/kb/manual-account-configuration/revision/63240,2014-05-06T22:55:34-07:00,/en-US/user/jeboftopeka/,jeboftopeka,unreviewed
/en-US/kb/manual-account-configuration/revision/63067,2014-05-05T01:54:40-07:00,/en-US/user/jeboftopeka/,jeboftopeka,unreviewed
/en-US/kb/manual-account-configuration/revision/56465,2014-02-24T02:11:04-08:00,/en-US/user/Swarnava/,Swarnava Sengupta,approved
/en-US/kb/manual-account-configuration/revision/54321,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/faq-changing-imap-pop/revision/163892,2018-07-17T19:30:44-07:00,/en-US/user/michro/,Michele Rodaro,current
/en-US/kb/faq-changing-imap-pop/revision/163777,2018-07-13T06:42:16-07:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/faq-changing-imap-pop/revision/163660,2018-07-11T03:55:32-07:00,/en-US/user/Wavid/,Wavid,approved
/en-US/kb/faq-changing-imap-pop/revision/118792,2016-02-29T05:23:22-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/faq-changing-imap-pop/revision/118754,2016-02-28T22:24:48-08:00,/en-US/user/Tonnes/,Tonnes,unreviewed
/en-US/kb/faq-changing-imap-pop/revision/107441,2015-10-26T03:26:34-07:00,/en-US/user/vesper/,vesper,approved
/en-US/kb/faq-changing-imap-pop/revision/79243,2014-10-22T18:31:36-07:00,/en-US/user/user669794/,user669794,approved
/en-US/kb/faq-changing-imap-pop/revision/57314,2014-03-05T02:50:14-08:00,/en-US/user/dyvik1001/,Dyvik Chenna,approved
/en-US/kb/faq-changing-imap-pop/revision/54323,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/archived-messages/revision/263040,2023-07-08T18:28:28-07:00,/en-US/user/michro/,Michele Rodaro,current
/en-US/kb/archived-messages/revision/262985,2023-07-07T15:30:17-07:00,/en-US/user/wsmwk/,Wayne Mery,unreviewed
/en-US/kb/archived-messages/revision/262849,2023-07-03T16:03:10-07:00,/en-US/user/markh2/,Mark Heijl,approved
/en-US/kb/archived-messages/revision/262622,2023-06-30T02:53:20-07:00,/en-US/user/philipp/,philipp,approved
/en-US/kb/archived-messages/revision/262565,2023-06-29T07:42:47-07:00,/en-US/user/philipp/,philipp,unreviewed
/en-US/kb/archived-messages/revision/255721,2023-01-14T21:48:39-08:00,/en-US/user/myo33/,myo33,unreviewed
/en-US/kb/archived-messages/revision/200061,2020-05-09T01:24:51-07:00,/en-US/user/eldonquijote23/,eldonquijote23,approved
/en-US/kb/archived-messages/revision/107446,2015-10-26T03:53:20-07:00,/en-US/user/vesper/,vesper,rejected
/en-US/kb/archived-messages/revision/107213,2015-10-23T03:21:41-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/archived-messages/revision/79864,2014-10-26T12:12:13-07:00,/en-US/user/marsf/,marsf,unreviewed
/en-US/kb/archived-messages/revision/79247,2014-10-22T18:36:44-07:00,/en-US/user/user669794/,user669794,approved
/en-US/kb/archived-messages/revision/57387,2014-03-05T18:24:25-08:00,/en-US/user/dyvik1001/,Dyvik Chenna,approved
/en-US/kb/archived-messages/revision/54324,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/automatic-account-configuration/revision/279725,2024-05-10T14:34:34.923403-07:00,/en-US/user/Mozinet/,Mozinet,unreviewed
/en-US/kb/automatic-account-configuration/revision/276412,2024-02-15T16:16:31.971951-08:00,/en-US/user/rtanglao/,Roland Tanglao,current
/en-US/kb/automatic-account-configuration/revision/264562,2023-08-16T13:40:02-07:00,/en-US/user/mihait/,mihait,approved
/en-US/kb/automatic-account-configuration/revision/262006,2023-06-09T06:27:54-07:00,/en-US/user/plwt/,Paul,approved
/en-US/kb/automatic-account-configuration/revision/209006,2020-10-11T14:48:35-07:00,/en-US/user/MattAuSupport/,Matt,approved
/en-US/kb/automatic-account-configuration/revision/208325,2020-09-24T20:31:37-07:00,/en-US/user/Toad-Hall/,Toad-Hall,approved
/en-US/kb/automatic-account-configuration/revision/157973,2018-03-11T22:15:34-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/automatic-account-configuration/revision/156888,2018-02-11T00:31:28-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/automatic-account-configuration/revision/156886,2018-02-10T23:31:59-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/automatic-account-configuration/revision/156735,2018-02-06T08:52:39-08:00,/en-US/user/Artist/,Artist,approved
/en-US/kb/automatic-account-configuration/revision/156387,2018-01-31T06:59:07-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/automatic-account-configuration/revision/140244,2017-06-03T01:10:02-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/automatic-account-configuration/revision/134756,2016-11-08T19:33:20-08:00,/en-US/user/user917725/,user917725,approved
/en-US/kb/automatic-account-configuration/revision/107447,2015-10-26T03:54:13-07:00,/en-US/user/vesper/,vesper,approved
/en-US/kb/automatic-account-configuration/revision/77323,2014-10-01T22:10:50-07:00,/en-US/user/user917725/,user917725,approved
/en-US/kb/automatic-account-configuration/revision/77056,2014-09-27T02:00:41-07:00,/en-US/user/gpiero61/,gpiero,approved
/en-US/kb/automatic-account-configuration/revision/75862,2014-09-11T19:07:14-07:00,/en-US/user/gpiero61/,gpiero,approved
/en-US/kb/automatic-account-configuration/revision/75160,2014-09-05T19:04:27-07:00,/en-US/user/gpiero61/,gpiero,approved
/en-US/kb/automatic-account-configuration/revision/56467,2014-02-24T02:14:52-08:00,/en-US/user/Swarnava/,Swarnava Sengupta,approved
/en-US/kb/automatic-account-configuration/revision/54325,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/270016,2023-11-09T00:17:35-08:00,/en-US/user/abradaranhagh/,Ashkan B,current
/en-US/kb/keyboard-shortcuts-thunderbird/revision/270015,2023-11-09T00:16:33-08:00,/en-US/user/abradaranhagh/,Ashkan B,unreviewed
/en-US/kb/keyboard-shortcuts-thunderbird/revision/269882,2023-11-07T03:58:43-08:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/269261,2023-11-02T01:37:09-07:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/269199,2023-11-01T15:05:59-07:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/269198,2023-11-01T14:55:37-07:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/264180,2023-08-05T19:15:06-07:00,/en-US/user/Y.D./,YD,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/263224,2023-07-12T06:09:06-07:00,/en-US/user/Mozinet/,Mozinet,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/262558,2023-06-29T05:33:09-07:00,/en-US/user/philipp/,philipp,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/257687,2023-03-06T22:44:21-08:00,/en-US/user/Mozinet/,Mozinet,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/255793,2023-01-16T04:50:13-08:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/251936,2022-10-17T07:58:39-07:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/236245,2022-01-11T04:46:24-08:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/236240,2022-01-11T03:31:27-08:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/236208,2022-01-10T16:54:46-08:00,/en-US/user/chdlr/,chdlr,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/210002,2020-11-01T02:42:06-08:00,/en-US/user/firefox877/,thomas8,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/201720,2020-06-13T12:53:44-07:00,/en-US/user/rohan.rhnvrm/,rhnvrm,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/190748,2019-11-22T18:07:18-08:00,/en-US/user/Tacsipacsi/,Tacsipacsi,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/171263,2018-11-19T06:47:56-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/167301,2018-09-23T09:21:45-07:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/167269,2018-09-23T00:37:54-07:00,/en-US/user/upwinxp/,Lan,unreviewed
/en-US/kb/keyboard-shortcuts-thunderbird/revision/167268,2018-09-23T00:32:31-07:00,/en-US/user/upwinxp/,Lan,unreviewed
/en-US/kb/keyboard-shortcuts-thunderbird/revision/158211,2018-03-15T21:11:04-07:00,/en-US/user/oeekker/,Onno Ekker,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/156384,2018-01-31T05:42:18-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/152154,2017-11-13T20:17:07-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/150903,2017-11-06T17:59:39-08:00,/en-US/user/oeekker/,Onno Ekker,unreviewed
/en-US/kb/keyboard-shortcuts-thunderbird/revision/149004,2017-10-24T22:14:28-07:00,/en-US/user/oeekker/,Onno Ekker,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/140500,2017-06-15T00:43:28-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/139386,2017-04-27T13:12:02-07:00,/en-US/user/wsmwk/,Wayne Mery,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/136499,2016-12-19T08:06:52-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/135989,2016-12-02T00:45:58-08:00,/en-US/user/upwinxp/,Lan,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/135386,2016-11-20T02:35:11-08:00,/en-US/user/ElhemEnohpi/,Elhem Enohpi,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/135369,2016-11-19T23:42:22-08:00,/en-US/user/ElhemEnohpi/,Elhem Enohpi,unreviewed
/en-US/kb/keyboard-shortcuts-thunderbird/revision/118562,2016-02-27T06:16:05-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/115674,2016-01-27T05:26:27-08:00,/en-US/user/wsmwk/,Wayne Mery,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/111190,2015-12-08T01:58:18-08:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/106010,2015-10-06T22:40:39-07:00,/en-US/user/FilipusKlutiero/,FilipusKlutiero,unreviewed
/en-US/kb/keyboard-shortcuts-thunderbird/revision/79245,2014-10-22T18:34:13-07:00,/en-US/user/user669794/,user669794,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/60398,2014-04-09T01:47:29-07:00,/en-US/user/pollti/,pollti,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/56497,2014-02-24T05:05:17-08:00,/en-US/user/ideato/,ideato,unreviewed
/en-US/kb/keyboard-shortcuts-thunderbird/revision/56201,2014-02-21T23:14:52-08:00,/en-US/user/Swarnava/,Swarnava Sengupta,approved
/en-US/kb/keyboard-shortcuts-thunderbird/revision/54326,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/272933,2023-12-20T23:07:15.926873-08:00,/en-US/user/markh2/,Mark Heijl,current
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/250993,2022-09-24T01:53:51-07:00,/en-US/user/wsmwk/,Wayne Mery,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/242550,2022-04-24T13:03:31-07:00,/en-US/user/wsmwk/,Wayne Mery,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/236499,2022-01-16T07:24:07-08:00,/en-US/user/MattAuSupport/,Matt,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/211928,2020-12-04T16:17:22-08:00,/en-US/user/atErik/,atErik,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/171164,2018-11-18T18:43:17-08:00,/en-US/user/underpass/,Underpass,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/171087,2018-11-17T09:55:57-08:00,/en-US/user/wsmwk/,Wayne Mery,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/171069,2018-11-17T03:04:42-08:00,/en-US/user/Chris_Ilias/,Chris Ilias,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/169430,2018-10-28T13:06:19-07:00,/en-US/user/wsmwk/,Wayne Mery,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/141179,2017-07-11T03:29:43-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/134130,2016-10-26T23:00:06-07:00,/en-US/user/TyDraniu/,TyDraniu,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/113150,2015-12-30T07:17:08-08:00,/en-US/user/jscher2000/,jscher2000 - Support Volunteer,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/107881,2015-10-31T01:10:11-07:00,/en-US/user/Tonnes/,Tonnes,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/82955,2014-11-23T14:15:54-08:00,/en-US/user/rtanglao/,Roland Tanglao,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/82806,2014-11-21T13:55:58-08:00,/en-US/user/rtanglao/,Roland Tanglao,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/82805,2014-11-21T13:49:37-08:00,/en-US/user/rtanglao/,Roland Tanglao,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/82800,2014-11-21T07:06:18-08:00,/en-US/user/rtanglao/,Roland Tanglao,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/82799,2014-11-21T06:46:33-08:00,/en-US/user/rtanglao/,Roland Tanglao,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/81879,2014-11-12T08:36:29-08:00,/en-US/user/duggabe/,duggabe,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/78908,2014-10-18T18:01:59-07:00,/en-US/user/upwinxp/,Lan,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/75740,2014-09-10T05:52:20-07:00,/en-US/user/jjuslin/,Jarmo,unreviewed
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/74602,2014-09-02T20:01:38-07:00,/en-US/user/Giulio.Tripi/,Giulio Tripi,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/56205,2014-02-21T23:21:35-08:00,/en-US/user/Swarnava/,Swarnava Sengupta,approved
/en-US/kb/profiles-where-thunderbird-stores-user-data/revision/54332,2014-02-13T16:00:00-08:00,/en-US/user/tb_migration/,Thunderbird Migration,approved
